,Dates,Andhra Pradesh,Arunachal Pradesh,Assam,Bihar,Chandigarh,Chhattisgarh,DD,Delhi,DNH,DVC,Essar steel,Goa,Gujarat,Haryana,HP,J&K,Jharkhand,Karnataka,Kerala,Maharashtra,Manipur,Meghalaya,Mizoram,MP,Nagaland,Odisha,Pondy,Punjab,Rajasthan,Sikkim,Tamil Nadu,Telangana,Tripura,UP,Uttarakhand,West Bengal,Total Consumption
0,06-01-2013,251.5,1.6,21.3,40.9,3.8,60.3,5.8,66,15,56.2,7.8,8.6,238.7,100.4,24.9,39.6,18.9,176.6,57.8,362.5,1.5,5.4,1,164.1,1.6,68.6,5.6,95.2,192,1.7,254.5,127.6,2.6,225,33.6,107.5,2845.6999999999994
1,07-01-2013,257.9,1.7,21.2,39.6,3.8,64.3,5.8,67.2,15.1,59.9,7.8,7.9,232.9,110,25.7,40.6,20.8,179.7,58.6,365.9,1.6,5.3,1.2,170.8,1.6,62.8,5.5,92.8,192.9,1.8,262.3,129.2,2.6,219.1,34.2,106.6,2876.699999999999
2,08-01-2013,265.1,1.6,20.4,39.2,3.9,63,5.9,66.7,15.2,60.3,7.9,7.6,242.6,110,25.8,40.4,22.6,181.5,58.7,365,1.6,4.8,1.3,179.1,1.6,65.5,5.8,93.9,197.1,1.8,256.6,131.9,2.1,238.7,33.9,103.9,2922.9999999999995
3,09-01-2013,261,1.6,21.4,39.5,3.7,65,5.8,67.4,15.2,60,8,7.9,244.3,107.4,25.6,37.8,22,182.4,59.6,366.3,1.6,5.1,1,178.9,1.6,66.7,5.9,90.1,197.6,1.9,254.6,135,2.7,229.1,32.7,105.7,2912.099999999999
4,10-01-2013,260,1.6,21.1,39.7,3.8,66.5,5.9,67.8,14.9,58.9,8,7.8,244.8,112.9,26,41.2,22.3,184.9,60.3,359.5,1.6,5.4,1,176.4,1.6,72,5.9,93.5,199.9,1.9,255.3,130,3.2,224.5,35.4,105.3,2920.8
5,11-01-2013,254.5,1.5,20.9,34.3,3.6,64.3,5.8,65.8,14.7,57.5,8.2,7.5,240.7,113.7,25,41.5,21.5,183.6,59.5,355.6,1.6,4.9,1,169.9,1.6,68,5.9,96.1,197.5,2,256.3,132,2.7,222.9,33.4,107.4,2882.9000000000005
6,12-01-2013,257.4,1.6,20.2,39.9,3.4,65.1,5.8,61.7,14.8,55.6,8.4,6.7,235.9,108.4,23.9,42,21.1,175.4,54.7,352.2,1.7,5.1,1,170.8,1.5,70.3,5.8,95.5,195.4,1.5,248.8,130.9,3,222.6,32.4,97.8,2838.3
7,15-07-2013,221.1,1.2,24.8,45,5.9,63.8,6,102.4,13.3,61.2,11.2,6.8,195.1,170,24.7,29.9,22.6,141.9,53.5,304.7,1.3,4.1,1,102.6,1.4,74.8,6.2,194.7,142.8,1.3,250.4,118.6,3,242.5,35,135.7,2820.4999999999995
8,16-07-2013,221.3,1.1,24.7,43.5,5.7,63.9,6.2,103.7,14.4,61.2,11.3,7.1,198.1,168,24.2,31.5,22.6,141.1,53,305.5,1.3,4.7,1,110.8,1.5,74.8,6.1,190.9,146.3,1.3,249.2,115.9,3,246.6,34.2,135.7,2831.399999999999
9,17-07-2013,211.8,1.3,25.4,43.9,6,65.2,5.9,103.9,14.2,61.2,11,7.3,197.8,171.6,24.9,31.1,22.6,141.4,53.1,307.2,1.3,4.4,1,114.9,1.6,74.8,6,194.4,152,1.3,251.6,124.7,3,248.8,33.4,135.7,2855.7
10,18-07-2013,214.6,1.3,24.7,44.5,5.7,66.9,6.1,104,14.2,61.2,10.2,7.1,202.1,173.2,25.6,31.2,22.6,138.6,51.4,300.6,1.3,4.1,1,113.6,1.5,74.8,6.2,193.2,146.9,1.3,251.6,123.4,3.2,253.7,33.1,135.7,2850.3999999999996
11,19-07-2013,206.3,1.1,24.6,43.2,5.9,68.5,6.1,104,13.7,61.2,10,7,204.8,172,25.5,31.2,22.6,137,51.2,294,1.7,4.3,1,111,1.6,74.8,6.2,194.2,150.4,1.3,245.1,123.7,3,246.6,33.8,135.7,2824.3
12,20-07-2013,207.2,1.1,24.6,44,5.1,64.9,6.1,85.9,12.4,61.2,10.7,7,207.6,157.4,22.9,24.6,22.6,132.5,51.2,289.3,1.4,4.3,1,110.8,1.3,74.8,6,180.6,143.4,1.3,238.8,125.8,2.5,236.1,34.5,135.7,2736.6
13,21-07-2013,213.4,1.2,24.6,44.5,4.9,62.7,5.9,82.7,12.5,61.2,10.1,6.2,200.1,152.9,21.9,28.1,22.6,124.5,47.3,282.3,1.4,4.2,1,110.7,1.3,74.8,5.6,181.6,132.8,1.3,228.5,125.8,2.5,236.3,31,135.7,2684.1
14,22-07-2013,209.9,1.2,23.2,38.9,5.6,63.3,5.8,92.4,12.2,58.5,9.3,6.5,205.7,153.3,22.8,31.3,21,136.5,51.1,298,1.3,4.3,0.9,110.8,1.2,66.5,5.9,220.7,133.2,0.9,243,121.3,2.9,241.6,32.1,135.9,2769
15,23-07-2013,202,1.3,23,40.2,5.9,63,5.9,96.7,12.6,58.9,8.8,6.5,199.5,155,22.9,31.6,20.8,129.8,51.2,295.6,1.6,4.4,0.8,112.1,1.6,67.5,6,191.7,137.4,1,246.8,121,2.7,245,31.4,135.2,2737.3999999999996
16,24-07-2013,213.7,0.7,25.4,41.4,6,61.8,5.9,100.2,12.6,60,8,6.5,196.2,159.4,23.8,29.3,20,131.5,51.5,291.4,1.6,4.6,1.1,118.4,1.6,66.8,6.2,192.7,145,1.2,247.9,123.6,3.1,243.1,28.4,137.8,2768.4
17,25-07-2013,226.4,0.7,25.6,40.2,6,62.7,6.1,94.5,12.6,57.4,7.7,7,196.9,155.8,24.2,27.5,19.2,136.3,51,292.7,1.5,4.4,1.1,114.2,1.6,68.8,6.2,192.6,142.8,1.2,242.3,127.2,2.9,242.1,27.8,134.8,2762.0000000000005
18,26-07-2013,233.8,0.8,21.2,38.5,5.9,60.6,6.1,95,13.9,58,5.7,7.4,196.8,158.7,24.9,31,17.8,135,50,290.2,1.8,4.4,1.1,111.1,1.1,66.9,6.4,193.9,135.4,1.3,253,125.9,2.7,240.9,32.7,131.2,2761.0999999999995
19,27-07-2013,236.8,1.3,25.1,36.9,5.9,56.6,6,91.9,12.9,57.6,7.9,7.3,197,159.8,24.1,30.9,17.5,132.3,51.3,291.4,1.6,5.6,1.1,106.9,1.3,66.8,6.7,195.5,129.1,1,252.4,130.9,2.3,245.2,33.3,117.5,2747.7
20,28-07-2013,235.9,1.4,24.7,39.8,5.6,59.1,6,93.7,14,56.3,9.4,7.4,188.2,157.1,22.8,28.7,19.2,124,48.5,282.3,1.5,4.3,1,101.5,1.5,67.8,6.2,198.7,125.9,1,246.1,127,2.3,242.5,32.6,123.6,2707.6000000000004
21,29-07-2013,243.6,1.1,24.8,40,7.3,59.9,6,102.6,13.7,57.6,9.1,8.2,186.8,164,24.1,30.8,18.8,134.9,52.6,297.7,1.5,4.5,1,104.9,1.4,66.5,6.5,197.9,132.3,1.1,254.8,122.1,2.3,247.9,32.7,117.5,2778.5
22,30-07-2013,238,1.2,24.9,41.1,5.2,55.7,6,102.5,14.4,55.7,9,8.4,188.6,159.1,25.1,26.1,19.1,137.4,54.4,302.3,1.3,4.4,1,109.9,1.3,62.2,6.5,198.3,132.2,1.3,261.6,119.5,2.8,246,31.9,126.4,2780.8000000000006
23,31-07-2013,220.2,1.1,24.4,41.7,6.3,55.5,5.9,96.9,14.8,55.4,9.2,7.7,190.9,159.2,24.7,31,18.9,137.5,55.6,295.5,1.2,4.6,1,105.4,1.4,67,6.5,198.4,135.9,1.3,258.5,118.5,2.5,250.9,28.9,127.8,2762.2000000000007
24,01-08-2013,223.3,1.2,25.8,41.1,6.3,58.2,5.9,97.1,14.4,54.5,8.7,6.8,192,151.3,23.8,28.8,19.3,137.2,50.8,284.7,1.2,4.4,1,106.4,1.6,66.2,6.6,186,135.4,1.2,257.4,124.2,2.8,246.5,27.8,128.9,2728.8
25,02-08-2013,234.8,1.1,25.9,45,5.8,57,6,102.1,14.3,57.2,8.8,7.7,188.3,155.5,24.1,26.7,20,140.8,49,277.6,1.6,4,1.1,111.3,1.7,64.8,6.7,182.3,149.1,1.2,260.1,121.9,2.8,252.9,33.4,129.5,2772.1000000000004
26,03-08-2013,247.8,1.2,26,43.7,5.7,56.8,6,97.8,14.2,57.9,7.4,7.5,185.4,164.7,23.4,28.4,20,140.6,51.9,290.3,1.6,4,1,112.2,1.6,67.2,6.6,188.7,150.9,0.6,252.9,118.4,2.9,256.7,33.3,133,2808.2999999999997
27,04-08-2013,247.7,1,24.9,40.2,5.3,58.5,6,94.4,14.9,56.5,6.9,7,181.4,158,22,29.5,18.8,131.4,47.8,286.2,1.3,4.3,0.7,114.2,1.5,68.6,6.3,189.6,148.7,0.8,238.4,122.2,2.8,259.1,31.4,129.2,2757.4999999999995
28,12-08-2013,235.1,1.1,24.8,41.7,5.6,61.1,6.1,97.3,15.2,57.5,8.7,7.7,197.4,151.3,22.6,26.9,19.2,144,55.3,316.3,1.6,4.7,1,114.8,1.4,68.9,5.9,187.5,137.6,1.2,229.6,146,3,236.1,32.1,124,2790.3
29,13-08-2013,241.7,1.2,24.7,43.4,5.3,64.9,6.1,93.3,15.2,61,8.7,7.7,198.8,150.5,23.7,23.2,20,147.3,55.6,310.5,1.2,4.3,1,113,1.2,69.2,5.4,183.7,135.4,1.1,233.7,134.7,3.2,237.8,28.7,137.5,2793.8999999999996
30,14-08-2013,248.1,1.7,24.6,43.3,5.5,67.1,6.2,91.7,15.1,59.3,8.2,7.7,198.8,143.6,24.3,21.4,20.4,151.5,55.2,313.8,1.3,4.5,1.1,116.3,1.3,70.1,5.6,176.2,129.7,1.3,237.9,141.1,3.1,237.1,32,135,2801.0999999999995
